HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000019.10:g.38433867T>G		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000019.10:g.38433875G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38440744G>A		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000019.10:g.38440769del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38440796A>G		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000019.10:g.38440798G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38440802T>C		0.0	Pathogenic|drug_response	reviewed_by_expert_panel
NC_000019.10:g.38440827A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38440829C>T		0.0	Likely_pathogenic|drug_response	reviewed_by_expert_panel
NC_000019.10:g.38440830G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38440862C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38440863_38440865del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38442347A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38442360dup		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000019.10:g.38442362A>G		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000019.10:g.38442386del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38442402TG[1]		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38443632G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38443717G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38443797G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38443798T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38444179C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38444187C>A		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000019.10:g.38444211C>T		0.0	Pathogenic|drug_response	reviewed_by_expert_panel
NC_000019.10:g.38444212G>T		0.0	Pathogenic|drug_response	reviewed_by_expert_panel
NC_000019.10:g.38444253C>T		0.0	Pathogenic	reviewed_by_expert_panel
NC_000019.10:g.38444257A>G		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000019.10:g.38446483G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38446525T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38446558C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38446565G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38446703C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38446710G>A		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000019.10:g.38446710G>C		0.0	Pathogenic	reviewed_by_expert_panel
NC_000019.10:g.38446752G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38448392C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000019.10:g.38448409dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38448421C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38448649_38448651del		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000019.10:g.38448647A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38448673_38448674del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38448673C>T		0.0	Likely_pathogenic|drug_response	reviewed_by_expert_panel
NC_000019.10:g.38448698dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38448698del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38448698_38448699del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38448699del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38448712G>A		0.0	Pathogenic	reviewed_by_expert_panel
NC_000019.10:g.38448712G>C		0.0	Pathogenic	reviewed_by_expert_panel
NC_000019.10:g.38448755G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38451827G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.38451842C>T		0.0	Pathogenic|drug_response	reviewed_by_expert_panel
NC_000019.10:g.38451843G>A		0.0	Pathogenic	reviewed_by_expert_panel
